Freq (GHz),s11dB,s11phs,s21db,s21phs
1,-5.40715E-05,148.0588638,-49.05398879,58.06572935
1.019,-1.83222E-14,147.5324065,-48.92381868,57.18640941
1.038,2.70012E-14,147.0040429,-48.79405841,56.31789528
1.057,1.54292E-14,146.4737805,-48.66472872,55.45986357
1.076,3.08585E-14,145.9416273,-48.53584841,54.61199832
1.095,-1.06076E-14,145.4075915,-48.40743441,53.77399103
1.114,3.85731E-15,144.8716819,-48.27950195,52.94554077
1.133,0,144.3339071,-48.15206466,52.12635417
1.152,1.35006E-14,143.7942767,-48.02513468,51.31614542
1.171,1.92865E-14,143.2528,-47.89872274,50.51463623
1.19,2.89298E-14,142.7094869,-47.77283827,49.72155579
1.209,-4.82164E-15,142.1643478,-47.64748949,48.93664065
1.228,2.50725E-14,141.6173931,-47.5226835,48.15963469
1.247,-7.71462E-15,141.0686338,-47.39842635,47.39028895
1.266,3.08585E-14,140.5180809,-47.2747231,46.62836156
1.285,-2.89298E-15,139.965746,-47.15157792,45.87361757
1.304,2.31439E-14,139.4116409,-47.02899414,45.12582882
1.323,2.89298E-14,138.8557777,-46.9069743,44.38477382
1.342,7.71462E-15,138.298169,-46.78552023,43.65023758
1.361,-1.73579E-14,137.7388275,-46.6646331,42.92201145
1.38,-1.54292E-14,137.1777662,-46.54431344,42.19989297
1.399,-3.85731E-15,136.6149985,-46.42456124,41.48368574
1.418,-2.50725E-14,136.0505382,-46.30537593,40.77319919
1.437,3.47158E-14,135.4843992,-46.18675649,40.06824852
1.456,1.54292E-14,134.9165958,-46.06870142,39.36865443
1.475,3.47158E-14,134.3471425,-45.95120883,38.67424306
1.494,-3.66444E-14,133.7760543,-45.83427644,37.98484578
1.513,2.12152E-14,133.2033463,-45.71790164,37.30029905
1.532,-4.43591E-14,132.6290338,-45.60208149,36.62044425
1.551,3.08585E-14,132.0531327,-45.48681276,35.94512757
1.57,3.47158E-14,131.4756589,-45.37209195,35.27419984
1.589,7.71462E-15,130.8966286,-45.25791532,34.60751635
1.608,2.50725E-14,130.3160583,-45.14427892,33.9449368
1.627,-4.05018E-14,129.7339647,-45.03117858,33.28632507
1.646,5.40023E-14,129.150365,-44.91860996,32.63154913
1.665,-1.44649E-14,128.5652762,-44.80656856,31.98048091
1.684,7.71462E-15,127.9787159,-44.69504972,31.33299618
1.703,-2.89298E-15,127.3907017,-44.58404865,30.68897438
1.722,1.92865E-14,126.8012516,-44.47356045,30.04829858
1.741,-5.5931E-14,126.2103838,-44.3635801,29.41085526
1.76,2.12152E-14,125.6181164,-44.25410249,28.77653431
1.779,3.47158E-14,125.0244682,-44.14512243,28.14522883
1.798,5.78596E-15,124.4294577,-44.03663465,27.51683506
1.817,4.62877E-14,123.833104,-43.92863383,26.89125229
1.836,-3.18228E-14,123.235426,-43.82111458,26.26838273
1.855,1.92865E-14,122.6364431,-43.71407148,25.64813144
1.874,5.78596E-15,122.0361747,-43.60749904,25.03040623
1.893,-3.08585E-14,121.4346402,-43.50139178,24.41511754
1.912,-1.54292E-14,120.8318594,-43.39574417,23.80217841
1.931,2.70012E-14,120.2278521,-43.29055065,23.19150434
1.95,7.71462E-15,119.6226383,-43.18580567,22.58301325
1.969,1.35006E-14,119.016238,-43.08150365,21.97662536
1.988,-1.35006E-14,118.4086713,-42.97763902,21.37226316
2.007,1.54292E-14,117.7999586,-42.87420621,20.76985131
2.026,1.92865E-15,117.1901201,-42.77119963,20.16931657
2.045,-1.73579E-14,116.5791764,-42.66861373,19.57058772
2.064,-4.24304E-14,115.9671477,-42.56644294,18.97359553
2.083,-3.85731E-15,115.3540548,-42.46468173,18.37827268
2.102,-7.71462E-15,114.7399182,-42.36332455,17.78455366
2.121,0,114.1247584,-42.26236591,17.19237477
2.14,-4.53234E-14,113.5085961,-42.1618003,16.60167404
2.159,-3.08585E-14,112.8914521,-42.06162227,16.01239115
2.178,-3.85731E-15,112.2733468,-41.96182635,15.42446742
2.197,-2.31439E-14,111.654301,-41.86240714,14.83784572
2.216,3.47158E-14,111.0343354,-41.76335924,14.25247044
2.235,-1.15719E-14,110.4134705,-41.66467728,13.66828745
2.254,-1.92865E-15,109.7917269,-41.56635592,13.08524402
2.273,1.15719E-14,109.1691252,-41.46838986,12.50328882
2.292,2.31439E-14,108.5456858,-41.37077382,11.92237185
2.311,-1.92865E-14,107.9214292,-41.27350256,11.34244438
2.33,1.73579E-14,107.2963756,-41.17657086,10.76345896
2.349,-3.66444E-14,106.6705454,-41.07997354,10.18536935
2.368,3.27871E-14,106.0439588,-40.98370545,9.608130477
