FGHz,S11dB,S11deg,S21dB,S21deg
1.0,-4.438143326260432e-5,151.81657377796952,-49.9058520705455,61.81657377796954
1.05,-4.9359313301797564e-5,150.387741965729,-49.4441767020639,60.38774196572882
1.1,-5.466974607989274e-5,148.95604244121853,-49.00039988014992,58.956042441218884
1.15,-6.0326776309611434e-5,147.521341079408,-48.57277209155315,57.52134107940775
1.2,-6.634540121077529e-5,146.08350415531402,-48.159768038178484,56.08350415531385
1.25,-7.274161595323435e-5,144.64239837586697,-47.76005003702571,54.642398375867046
1.3,-7.953246218675624e-5,143.1978909135955,-47.37243860250061,53.19789091359542
1.35,-8.673607985376029e-5,141.74984944217,-46.995888583274436,51.74984944216967
1.4,-9.437176242486561e-5,140.29814217388102,-46.62946964155559,50.29814217388102
1.45,-0.00010246001577341979,138.842637899106,-46.272350158936916,48.842637899105604
1.5,-0.00011102262084058303,137.3832060278425,-45.92378387186969,47.383206027842405
1.55,-0.00012008270035249798,135.91971663334098,-45.58309869902887,45.91971663334132
1.6,-0.00012966478976141405,134.45204049790848,-45.2496873430956,44.452040497908754
1.65,-0.00013979491268198822,132.98004916093248,-44.922999338697295,42.980049160932836
1.7,-0.00015050066106797526,131.50361496915403,-44.60253428758101,41.50361496915425
1.75,-0.00016181128039191052,130.02261112925203,-44.28783607424272,40.02261112925176
1.8,-0.00017375776010874645,128.536911762768,-43.978487896565625,38.53691176276803
1.85,-0.0001863729299110655,127.04639196320502,-43.67410797237619,37.04639196320482
1.9,-0.0001996915612526497,125.5509278561995,-43.37434583391005,35.550927856199394
1.95,-0.00021375047633476706,124.0503966608625,-43.078879075711086,34.050396660862766
2.0,-0.00022858866258650414,122.544676754734,-42.787410539856026,32.54467675473401
2.05,-0.00024424739485194667,121.03364774047101,-42.49966583391624,31.03364774047117
2.1,-0.00026077036487694844,119.5171905151045,-42.215391150769285,29.517190515104435
2.15,-0.00027820381876355417,117.99518734164151,-41.93435134379118,27.995187341641486
2.2,-0.00029659670285578973,116.46752192299802,-41.65632822206308,26.46752192299796
2.25,-0.00031600081857366966,114.93407947821652,-41.38111903622536,24.93407947821658
2.3,-0.00033647098677506656,113.39474682090751,-41.108535129170384,23.394746820907645
2.35,-0.0003580652222242468,111.84941243984301,-40.83840073067512,21.84941243984296
2.4,-0.00038084491882219896,110.29796658161551,-40.57055187732671,20.297966581615306
2.45,-0.0004048750462964723,108.74030133526101,-40.304835442169555,18.74030133526102
2.5,-0.00043022435907734614,107.17631071872701,-40.04110826067692,17.17631071872684
2.55,-0.00045696561866693944,105.6058907673565,-39.779236336770424,15.605890767356268
2.6,-0.00048517582676156135,104.02893962194501,-39.519094152758726,14.02893962194528
2.65,-0.0005149364811630884,102.44535762329951,-39.26056396948623,12.445357623299616
2.7,-0.0005463338364779457,100.855047400935,-39.00353528892306,10.855047400935115
2.75,-0.0005794591901642148,99.2579139681737,-38.74790428816845,9.2579139681738
2.8,-0.0006144091830779437,97.65386481570727,-38.49357333276429,7.653864815707087
2.85,-0.0006512861199411278,96.04281000601709,-38.24045052509905,6.042810006016862
2.9,-0.0006901983104346142,94.42466226795645,-37.98844928929619,4.424662267956471
2.95,-0.0007312604324336257,92.79933709118316,-37.73748798868114,2.7993370911833115
3.0,-0.0007745939189726523,91.16675282010065,-37.48748957229883,1.166752820100809
3.05,-0.0008203273706978031,89.52683074693675,-37.2383812474363,-0.473169253063405
3.1,-0.0008685969956927447,87.87949520356071,-36.99009417537211,-2.120504796439415
3.15,-0.0009195470787532471,86.22467365160885,-36.742563187940746,-3.7753263483911277
3.2,-0.000973330482361817,84.5622967704594,-36.495726522724716,-5.4377032295406815
3.25,-0.0010301091818213522,82.89229854256486,-36.249525574928676,-7.107701457435286
3.3,-0.0010900548372394213,81.2146163356179,-36.00390466419314,-8.785383664382122
3.35,-0.0011533494052789256,79.52919098099565,-35.758810814774236,-10.470809019004308
3.4,-0.0012201857939300182,77.8359668478911,-35.514193547697836,-12.16403315210882
3.45,-0.0012907685637836737,76.13489191250791,-35.27000468359317,-13.865108087492066
3.5,-0.0013653146797127163,74.42591782166204,-35.02619815508494,-15.574082178337907
3.55,-0.0014440543171683716,72.70899995009509,-34.782729827692165,-17.291000049904966
3.6,-0.001527231727791035,70.98409745077255,-34.53955732829327,-19.015902549227405
3.65,-0.0016151061694536267,69.2511732974041,-34.29663988032254,-20.74882670259588
3.7,-0.001707952906382061,67.51019431838546,-34.05393814490004,-22.489805681614527
3.75,-0.0018060642856041118,65.7611312213311,-33.81141406722199,-24.238868778668976
3.8,-0.0019097508965900865,64.00395860732445,-33.56903072753631,-25.996041392675643
3.85,-0.0020193428216782393,62.238654973982655,-33.3267521961538,-27.76134502601735
3.9,-0.0021351909856660257,60.465202706397,-33.08454339193797,-29.53479729360306
3.95,-0.0022576686138810814,58.683588054969746,-32.842369943798964,-31.31641194503028
4.0,-0.0023871728089632613,56.89380109913935,-32.600198054742975,-33.1061989008607
4.05,-0.0025241262577739417,55.09583569594601,-32.35799436806998,-34.90416430405413
4.1,-0.0026689790810601947,53.2896894123564,-32.1157258353516,-36.71031058764355
4.15,-0.0028222108398755605,51.475363440228946,-31.87335958583389,-38.52463655977108
4.2,-0.0029843327143426485,49.65286249276515,-31.63086279696712,-40.34713750723487
